hull,station_id,waterline_id,x_over_L,z_over_T,y_over_B2
Prismatic_NPC,0,0,0.000000,0.000000,0.000000
Prismatic_NPC,0,1,0.000000,0.100000,0.000000
Prismatic_NPC,0,2,0.000000,0.200000,0.000000
Prismatic_NPC,0,3,0.000000,0.300000,0.000000
Prismatic_NPC,0,4,0.000000,0.400000,0.000000
Prismatic_NPC,0,5,0.000000,0.500000,0.000000
Prismatic_NPC,0,6,0.000000,0.600000,0.000000
Prismatic_NPC,0,7,0.000000,0.700000,0.000000
Prismatic_NPC,0,8,0.000000,0.800000,0.000000
Prismatic_NPC,0,9,0.000000,0.900000,0.000000
Prismatic_NPC,0,10,0.000000,1.000000,0.000000
Prismatic_NPC,1,0,0.050000,0.000000,0.351247
Prismatic_NPC,1,1,0.050000,0.100000,0.349486
Prismatic_NPC,1,2,0.050000,0.200000,0.344150
Prismatic_NPC,1,3,0.050000,0.300000,0.335068
Prismatic_NPC,1,4,0.050000,0.400000,0.321923
Prismatic_NPC,1,5,0.050000,0.500000,0.304189
Prismatic_NPC,1,6,0.050000,0.600000,0.280997
Prismatic_NPC,1,7,0.050000,0.700000,0.250840
Prismatic_NPC,1,8,0.050000,0.800000,0.210748
Prismatic_NPC,1,9,0.050000,0.900000,0.153105
Prismatic_NPC,1,10,0.050000,1.000000,0.000000
Prismatic_NPC,2,0,0.100000,0.000000,0.649019
Prismatic_NPC,2,1,0.100000,0.100000,0.645766
Prismatic_NPC,2,2,0.100000,0.200000,0.635906
Prismatic_NPC,2,3,0.100000,0.300000,0.619125
Prismatic_NPC,2,4,0.100000,0.400000,0.594836
Prismatic_NPC,2,5,0.100000,0.500000,0.562067
Prismatic_NPC,2,6,0.100000,0.600000,0.519215
Prismatic_NPC,2,7,0.100000,0.700000,0.463493
Prismatic_NPC,2,8,0.100000,0.800000,0.389412
Prismatic_NPC,2,9,0.100000,0.900000,0.282901
Prismatic_NPC,2,10,0.100000,1.000000,0.000000
Prismatic_NPC,3,0,0.150000,0.000000,0.847985
Prismatic_NPC,3,1,0.150000,0.100000,0.843734
Prismatic_NPC,3,2,0.150000,0.200000,0.830852
Prismatic_NPC,3,3,0.150000,0.300000,0.808926
Prismatic_NPC,3,4,0.150000,0.400000,0.777191
Prismatic_NPC,3,5,0.150000,0.500000,0.734376
Prismatic_NPC,3,6,0.150000,0.600000,0.678388
Prismatic_NPC,3,7,0.150000,0.700000,0.605582
Prismatic_NPC,3,8,0.150000,0.800000,0.508791
Prismatic_NPC,3,9,0.150000,0.900000,0.369628
Prismatic_NPC,3,10,0.150000,1.000000,0.000000
Prismatic_NPC,4,0,0.200000,0.000000,0.917852
Prismatic_NPC,4,1,0.200000,0.100000,0.913251
Prismatic_NPC,4,2,0.200000,0.200000,0.899308
Prismatic_NPC,4,3,0.200000,0.300000,0.875575
Prismatic_NPC,4,4,0.200000,0.400000,0.841225
Prismatic_NPC,4,5,0.200000,0.500000,0.794883
Prismatic_NPC,4,6,0.200000,0.600000,0.734282
Prismatic_NPC,4,7,0.200000,0.700000,0.655477
Prismatic_NPC,4,8,0.200000,0.800000,0.550711
Prismatic_NPC,4,9,0.200000,0.900000,0.400082
Prismatic_NPC,4,10,0.200000,1.000000,0.000000
Prismatic_NPC,5,0,0.250000,0.000000,0.917852
Prismatic_NPC,5,1,0.250000,0.100000,0.913251
Prismatic_NPC,5,2,0.250000,0.200000,0.899308
Prismatic_NPC,5,3,0.250000,0.300000,0.875575
Prismatic_NPC,5,4,0.250000,0.400000,0.841225
Prismatic_NPC,5,5,0.250000,0.500000,0.794883
Prismatic_NPC,5,6,0.250000,0.600000,0.734282
Prismatic_NPC,5,7,0.250000,0.700000,0.655477
Prismatic_NPC,5,8,0.250000,0.800000,0.550711
Prismatic_NPC,5,9,0.250000,0.900000,0.400082
Prismatic_NPC,5,10,0.250000,1.000000,0.000000
Prismatic_NPC,6,0,0.300000,0.000000,0.917852
Prismatic_NPC,6,1,0.300000,0.100000,0.913251
Prismatic_NPC,6,2,0.300000,0.200000,0.899308
Prismatic_NPC,6,3,0.300000,0.300000,0.875575
Prismatic_NPC,6,4,0.300000,0.400000,0.841225
Prismatic_NPC,6,5,0.300000,0.500000,0.794883
Prismatic_NPC,6,6,0.300000,0.600000,0.734282
Prismatic_NPC,6,7,0.300000,0.700000,0.655477
Prismatic_NPC,6,8,0.300000,0.800000,0.550711
Prismatic_NPC,6,9,0.300000,0.900000,0.400082
Prismatic_NPC,6,10,0.300000,1.000000,0.000000
Prismatic_NPC,7,0,0.350000,0.000000,0.917852
Prismatic_NPC,7,1,0.350000,0.100000,0.913251
Prismatic_NPC,7,2,0.350000,0.200000,0.899308
Prismatic_NPC,7,3,0.350000,0.300000,0.875575
Prismatic_NPC,7,4,0.350000,0.400000,0.841225
Prismatic_NPC,7,5,0.350000,0.500000,0.794883
Prismatic_NPC,7,6,0.350000,0.600000,0.734282
Prismatic_NPC,7,7,0.350000,0.700000,0.655477
Prismatic_NPC,7,8,0.350000,0.800000,0.550711
Prismatic_NPC,7,9,0.350000,0.900000,0.400082
Prismatic_NPC,7,10,0.350000,1.000000,0.000000
Prismatic_NPC,8,0,0.400000,0.000000,0.917852
Prismatic_NPC,8,1,0.400000,0.100000,0.913251
Prismatic_NPC,8,2,0.400000,0.200000,0.899308
Prismatic_NPC,8,3,0.400000,0.300000,0.875575
Prismatic_NPC,8,4,0.400000,0.400000,0.841225
Prismatic_NPC,8,5,0.400000,0.500000,0.794883
Prismatic_NPC,8,6,0.400000,0.600000,0.734282
Prismatic_NPC,8,7,0.400000,0.700000,0.655477
Prismatic_NPC,8,8,0.400000,0.800000,0.550711
Prismatic_NPC,8,9,0.400000,0.900000,0.400082
Prismatic_NPC,8,10,0.400000,1.000000,0.000000
Prismatic_NPC,9,0,0.450000,0.000000,0.917852
Prismatic_NPC,9,1,0.450000,0.100000,0.913251
Prismatic_NPC,9,2,0.450000,0.200000,0.899308
Prismatic_NPC,9,3,0.450000,0.300000,0.875575
Prismatic_NPC,9,4,0.450000,0.400000,0.841225
Prismatic_NPC,9,5,0.450000,0.500000,0.794883
