Term,s,t,u,v,C_KT,C_KQ
1,0,0,0,0,0.00880496,-0.00204554
2,0,1,0,0,-0.204554,0.00166351
3,0,2,0,0,0.166351,-0.00048169
4,0,0,1,0,0.158114,0.0055581
5,0,1,1,0,-0.147581,-0.00010119
6,0,2,1,0,-0.481497,0.0013365
7,0,0,2,0,0.415437,0.00204554
8,0,1,2,0,0.0144043,-0.000638407
9,0,0,0,1,-0.0530054,0.00055581
10,0,1,0,1,0.0143481,-0.00303818
11,0,2,0,1,0.0606826,-0.00108671
12,0,0,1,1,-0.0125894,0.000638407
13,0,1,1,1,0.0109689,-0.000173869
14,0,0,2,1,-0.133698,0.00055581
15,0,0,0,2,0.00638407,-0.00006384
16,0,1,0,2,-0.00132718,0.00025975
17,0,0,1,2,0.0168424,-0.00016846
18,0,0,0,3,-0.00052227,0.00011346
19,1,0,0,0,0.0,0.00064135
20,1,1,0,0,0.0,-0.00055581
21,1,2,0,0,0.0,0.00056894
22,1,0,1,0,0.0,-0.00054259
23,1,1,1,0,0.0,0.00046483
24,1,0,2,0,0.0,-0.00046483
25,1,0,0,1,0.0,0.00033526
26,1,1,0,1,0.0,-0.00032844
27,1,0,1,1,0.0,0.00022871
28,1,0,0,2,0.0,-0.00012315
29,2,0,0,0,0.0,0.0000311
30,2,1,0,0,0.0,-0.0000264
31,2,0,1,0,0.0,0.0000231
32,2,0,0,1,0.0,-0.0000132
33,2,0,0,2,0.0,0.0000057
