VesselID,VesselType,Lpp_m,Beam_m,Draft_m,Depth_m,Displacement_t,CB,CP,CM,CW,ServiceSpeed_ms,DWT_t,EngineType,YearBuilt,Source,DataQuality,HullGeometryFile,ResistanceCurve
KCS (KRISO Container Ship),Container,230.0,32.2,10.8,19.0,52030.0,0.6505,0.66,0.9849,0.83,12.34,,Diesel,2002,SIMMAN 2015,Model tests,IGES (SIMMAN),"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [2913680, 3277890, 3642100, 4006310, 4370520, 4734730, 5098940]}"
KVLCC2,Tanker,320.0,58.0,20.8,30.0,312622.0,0.8098,0.82,0.998,0.88,15.5,,Diesel,2000,SIMMAN / DTMB,Model tests,IGES,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [17506832, 19695186, 21883540, 24071894, 26260248, 28448602, 30636955]}"
DTMB 5415,Naval combatant,142.0,17.983,6.179,,12901.6,0.506,0.55,,0.778,10.0,,Diesel,1970,DTMB,Model tests,IGES,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [722489, 812800, 903112, 993423, 1083734, 1174045, 1264356]}"
Emma Maersk (approx),Container,376.0,56.4,15.5,30.2,221605.0,0.68,0.7,0.98,0.84,13.1,157000.0,Wärtsilä-Sulzer RTA96-C,2006,Public specs,Design spec,,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [12409880, 13961115, 15512350, 17063585, 18614820, 20166055, 21717290]}"
Symphony of the Seas (approx),Cruise ship,361.8,47.448,9.322,,100000.0,0.55,0.6,0.98,0.78,11.3,18095.0,Diesel-electric,2018,RCCL / public,Builder spec,,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [5600000, 6300000, 7000000, 7700000, 8400000, 9100000, 9800000]}"
BUL_0001,Bulk carrier,125.25,30.93,11.57,26.2,29085.0,0.721,0.787,0.863,0.735,5.221,95268.0,Hybrid,2002,ShipD (MIT),Measured,Parametric (NURBS),"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [1221570, 1366995, 1512419, 1657845, 1803269, 1948695, 2094120]}"
FIS_0002,Fishing,42.27,10.29,2.75,7.22,811.7,0.754,0.725,0.913,0.689,5.223,765.0,Diesel,1976,SIMMAN,Model tests,None,
NAV_0003,Naval combatant,156.41,20.07,8.38,13.36,19863.7,0.839,0.838,0.933,0.865,16.043,13202.0,Diesel-electric,2006,Open dataset,Model tests,Mesh available (OBJ),
CRU_0004,Cruise ship,312.34,61.41,9.14,33.0,94984.3,0.602,0.611,0.975,0.652,9.991,21754.0,Electric,2014,Open dataset,Model tests,STL,
TAN_0005,Tanker,268.19,31.75,15.86,16.75,99665.7,0.82,0.859,0.883,0.704,7.516,34612.0,Diesel,2022,Public spec,Calculated from geometry,None,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [4185959, 4684287, 5182616, 5680944, 6179273, 6677601, 7175930]}"
BUL_0006,Bulk carrier,164.31,62.32,22.02,16.92,144487.8,0.712,0.713,0.987,0.747,5.826,106184.0,Hybrid,2005,Public spec,Measured,IGES,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [6068487, 6790926, 7513365, 8235804, 8958243, 9680682, 10403121]}"
OTH_0007,Other,131.83,14.87,19.95,16.76,17105.9,0.486,0.442,0.866,0.801,9.005,42244.0,Nuclear,1974,SIMMAN,Measured,IGES,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [718447, 803977, 889506, 975036, 1060565, 1146095, 1231624]}"
FIS_0008,Fishing,31.34,11.75,5.74,6.08,943.6,0.496,0.561,0.963,0.846,5.866,300.0,Nuclear,1980,ShipD (MIT),Estimated,STL,
TAN_0009,Tanker,261.84,25.11,18.63,31.04,71986.5,0.653,0.629,0.906,0.652,8.088,415870.0,Hybrid,1970,Public spec,Calculated from geometry,Mesh available (OBJ),
BUL_0010,Bulk carrier,315.11,59.3,21.31,16.77,169513.4,0.473,0.537,0.992,0.627,6.395,36992.0,Hybrid,2018,DSYHS (Delft),Design spec,IGES,
FIS_0011,Fishing,25.73,11.39,4.23,7.79,917.1,0.822,0.87,0.953,0.828,6.168,674.0,Nuclear,1993,MARIN paper,Calculated from geometry,Mesh available (OBJ),"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [38518, 43103, 47689, 52274, 56860, 61445, 66031]}"
CRU_0012,Cruise ship,197.19,35.52,8.47,23.45,28725.4,0.538,0.497,0.945,0.673,11.123,26490.0,Hybrid,1974,DSYHS (Delft),Estimated,IGES,
CRU_0013,Cruise ship,263.24,50.93,9.21,28.64,60787.6,0.547,0.558,0.911,0.63,10.616,13857.0,Nuclear,1996,Open dataset,Model tests,Mesh available (OBJ),
CON_0014,Container,220.79,32.25,14.76,17.72,49753.5,0.526,0.534,0.913,0.689,9.388,185420.0,Hybrid,1998,ShipD (MIT),Model tests,STL,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [2089646, 2338414, 2587181, 2835949, 3084716, 3333484, 3582252]}"
CON_0015,Container,390.7,56.91,14.64,15.83,188669.4,0.644,0.622,0.91,0.619,9.986,197208.0,Nuclear,1986,Public spec,Calculated from geometry,STL,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [7924114, 8867461, 9810808, 10754155, 11697502, 12640849, 13584196]}"
OFF_0016,Offshore supply,60.84,16.15,6.87,7.9,4052.2,0.667,0.714,0.859,0.787,6.697,5145.0,Diesel,1980,MARIN paper,Model tests,Parametric (NURBS),"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [170192, 190453, 210714, 230975, 251236, 271497, 291758]}"
BUL_0017,Bulk carrier,244.96,49.73,11.76,12.64,103919.8,0.806,0.788,0.939,0.798,6.223,237632.0,Gas Turbine,2003,Public spec,Design spec,None,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [4364631, 4884230, 5403829, 5923428, 6443027, 6962626, 7482225]}"
CRU_0018,Cruise ship,205.78,27.24,8.61,26.86,35704.9,0.822,0.894,0.851,0.799,10.419,7499.0,Diesel-electric,2004,MARIN paper,Estimated,Parametric (NURBS),
NAV_0019,Naval combatant,186.9,20.79,6.22,9.58,17031.7,0.783,0.824,0.942,0.916,16.225,2101.0,Hybrid,2022,Public spec,Model tests,Parametric (NURBS),"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [715331, 800489, 885648, 970806, 1055965, 1141123, 1226282]}"
FER_0020,Ferry,67.31,12.78,5.54,6.18,2968.0,0.692,0.735,0.881,0.803,7.803,3959.0,Diesel,2024,ShipD (MIT),Calculated from geometry,None,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [124655, 139496, 154336, 169176, 184015, 198856, 213696]}"
CON_0021,Container,101.06,50.39,12.73,18.02,43524.5,0.746,0.768,0.914,0.603,8.579,177790.0,Hybrid,1979,ShipD (MIT),Estimated,STL,
FIS_0022,Fishing,24.63,5.78,2.89,7.39,284.4,0.768,0.83,0.985,0.667,5.399,111.0,Hybrid,2019,SIMMAN,Measured,Parametric (NURBS),"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [11944, 13366, 14788, 16210, 17632, 19054, 20476]}"
CRU_0023,Cruise ship,331.57,61.05,9.03,33.22,75674.4,0.46,0.506,0.9,0.898,10.911,26601.0,Diesel-electric,2021,Public spec,Design spec,Mesh available (OBJ),"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [3178324, 3556696, 3935068, 4313440, 4691812, 5070184, 5448556]}"
RO-_0024,RO-RO,220.83,33.17,6.11,16.17,25537.4,0.634,0.624,0.969,0.673,7.275,13201.0,Gas Turbine,1991,ShipD (MIT),Estimated,None,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [1072570, 1200257, 1327944, 1455631, 1583318, 1711005, 1838692]}"
FIS_0025,Fishing,40.98,17.74,3.91,7.64,1268.9,0.496,0.572,0.877,0.908,5.481,117.0,Gas Turbine,1997,Open dataset,Estimated,IGES,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [53293, 59638, 65982, 72327, 78671, 85016, 91360]}"
OTH_0026,Other,295.59,10.2,18.14,8.13,23036.5,0.468,0.475,0.928,0.858,8.356,94029.0,Electric,2017,DSYHS (Delft),Estimated,IGES,
BUL_0027,Bulk carrier,319.26,61.28,17.97,24.59,158206.3,0.5,0.567,0.926,0.813,5.983,281911.0,Diesel-electric,2005,DSYHS (Delft),Calculated from geometry,IGES,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [6644664, 7435696, 8226727, 9017759, 9808790, 10599822, 11390853]}"
TAN_0028,Tanker,287.72,34.45,17.31,10.01,87246.4,0.565,0.571,0.937,0.81,6.58,204550.0,Hybrid,1983,SIMMAN,Design spec,Mesh available (OBJ),
FER_0029,Ferry,127.32,26.46,4.34,10.55,9869.2,0.75,0.787,0.884,0.664,6.324,2034.0,Hybrid,2000,ShipD (MIT),Calculated from geometry,IGES,
OTH_0030,Other,74.44,36.34,10.65,9.59,18461.3,0.712,0.663,0.963,0.846,4.774,42543.0,Electric,1981,MARIN paper,Calculated from geometry,Mesh available (OBJ),"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [775374, 867681, 959987, 1052294, 1144600, 1236907, 1329213]}"
FIS_0031,Fishing,31.2,15.88,3.55,6.81,1135.0,0.717,0.795,0.939,0.904,8.701,616.0,Hybrid,2016,SIMMAN,Measured,IGES,
TAN_0032,Tanker,318.48,42.78,12.41,16.18,107281.9,0.705,0.755,0.928,0.801,5.992,44092.0,Diesel-electric,1988,Public spec,Estimated,None,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [4505839, 5042249, 5578658, 6115068, 6651477, 7187887, 7724296]}"
FIS_0033,Fishing,20.24,6.11,3.22,2.92,192.1,0.536,0.54,0.9,0.749,4.436,834.0,Hybrid,1994,Open dataset,Model tests,STL,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [8068, 9028, 9989, 10949, 11910, 12870, 13831]}"
RO-_0034,RO-RO,161.55,34.85,6.49,11.9,26538.1,0.807,0.866,0.931,0.835,9.671,54073.0,Diesel-electric,2001,Public spec,Calculated from geometry,IGES,
CON_0035,Container,216.66,46.09,14.18,28.66,100167.5,0.786,0.856,0.997,0.771,12.43,122459.0,Diesel,2012,ShipD (MIT),Calculated from geometry,Parametric (NURBS),
OFF_0036,Offshore supply,62.72,15.64,4.31,7.27,2226.0,0.585,0.649,0.892,0.904,6.446,5042.0,Diesel,2000,Open dataset,Measured,Mesh available (OBJ),
NAV_0037,Naval combatant,114.66,12.69,9.74,8.4,5892.7,0.462,0.444,0.976,0.799,14.088,8156.0,Hybrid,1977,DSYHS (Delft),Calculated from geometry,None,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [247493, 276956, 306420, 335883, 365347, 394810, 424274]}"
NAV_0038,Naval combatant,108.46,18.07,8.49,9.15,11650.8,0.778,0.853,0.866,0.608,14.466,10805.0,Nuclear,1994,Open dataset,Design spec,Mesh available (OBJ),"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [489333, 547587, 605841, 664095, 722349, 780603, 838857]}"
OTH_0039,Other,213.37,33.23,3.39,23.86,17089.6,0.79,0.818,0.868,0.915,8.947,34753.0,Electric,1997,Public spec,Model tests,STL,
NAV_0040,Naval combatant,91.39,16.2,6.94,12.34,5502.2,0.595,0.661,0.919,0.649,13.767,8782.0,Gas Turbine,2011,MARIN paper,Measured,IGES,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [231092, 258603, 286114, 313625, 341136, 368647, 396158]}"
OFF_0041,Offshore supply,80.49,22.23,4.07,9.26,5125.4,0.782,0.743,0.982,0.678,6.579,3739.0,Gas Turbine,1994,ShipD (MIT),Calculated from geometry,None,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [215266, 240893, 266520, 292147, 317774, 343401, 369028]}"
TAN_0042,Tanker,257.01,37.03,12.39,16.99,73014.0,0.688,0.752,0.933,0.765,5.734,116196.0,Nuclear,1996,MARIN paper,Design spec,IGES,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [3066588, 3431658, 3796727, 4161798, 4526867, 4891938, 5257008]}"
OFF_0043,Offshore supply,81.37,12.24,4.18,7.02,2049.5,0.547,0.583,0.905,0.777,6.206,5980.0,Gas Turbine,2005,Public spec,Calculated from geometry,None,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [86079, 96326, 106573, 116821, 127068, 137316, 147564]}"
FER_0044,Ferry,87.71,13.14,3.56,4.96,2451.9,0.664,0.713,0.878,0.669,9.162,5824.0,Hybrid,2018,MARIN paper,Estimated,Mesh available (OBJ),
CRU_0045,Cruise ship,212.21,36.44,7.76,30.62,27057.4,0.501,0.457,0.858,0.693,11.203,20946.0,Nuclear,2018,ShipD (MIT),Model tests,STL,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [1136410, 1271697, 1406984, 1542271, 1677558, 1812845, 1948132]}"
FER_0046,Ferry,120.41,21.45,3.51,4.41,6739.4,0.826,0.838,0.973,0.728,6.631,5072.0,Diesel-electric,1973,DSYHS (Delft),Measured,None,
BUL_0047,Bulk carrier,328.72,23.57,20.23,23.34,108057.0,0.766,0.745,0.928,0.744,6.283,345464.0,Gas Turbine,1997,MARIN paper,Measured,Mesh available (OBJ),"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [4538394, 5078679, 5618963, 6159249, 6699533, 7239819, 7780104]}"
OTH_0048,Other,288.83,9.47,15.61,19.89,21365.5,0.556,0.517,0.886,0.777,5.082,40881.0,Hybrid,2014,SIMMAN,Estimated,Mesh available (OBJ),
CRU_0049,Cruise ship,210.5,33.31,9.15,21.07,31353.8,0.543,0.527,0.969,0.789,10.914,9945.0,Hybrid,1977,DSYHS (Delft),Design spec,None,
TAN_0050,Tanker,157.14,27.96,13.23,28.72,35469.6,0.678,0.666,0.869,0.82,7.304,424777.0,Hybrid,2002,SIMMAN,Calculated from geometry,Mesh available (OBJ),"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [1489723, 1667071, 1844419, 2021767, 2199115, 2376463, 2553811]}"
OTH_0051,Other,31.16,24.44,7.46,9.76,2490.1,0.487,0.562,0.975,0.784,9.985,99957.0,Gas Turbine,2013,MARIN paper,Model tests,Parametric (NURBS),
OFF_0052,Offshore supply,86.33,18.19,4.11,9.98,3624.6,0.624,0.68,0.995,0.75,6.405,2062.0,Diesel-electric,1976,Public spec,Calculated from geometry,IGES,
FER_0053,Ferry,149.39,20.41,6.68,4.29,8890.5,0.485,0.468,0.867,0.847,11.513,6616.0,Electric,1970,MARIN paper,Calculated from geometry,IGES,
CON_0054,Container,156.27,33.19,13.81,26.38,48606.1,0.754,0.73,0.932,0.897,10.26,142667.0,Diesel,1977,Open dataset,Measured,Parametric (NURBS),
TAN_0055,Tanker,214.58,20.66,14.94,15.62,46912.4,0.787,0.752,0.992,0.807,5.62,420367.0,Hybrid,1988,Open dataset,Estimated,IGES,
OFF_0056,Offshore supply,118.62,15.41,5.21,6.92,7019.8,0.819,0.835,0.982,0.876,5.997,4782.0,Gas Turbine,1996,MARIN paper,Estimated,Mesh available (OBJ),
