station,wl_1,wl_2,wl_3,wl_4,wl_5,wl_6,wl_7,wl_8,wl_9,wl_10,wl_11,wl_12,wl_13,wl_14,wl_15,wl_16,wl_16.4
0,0,0,0,0,0,0,0,0,0,0.3,2.1,3.05,3.8,4.35,4.9,5.35,5.5
0.25,0.2,0.3,0.35,0.39,0.41,0.47,0.6,0.95,1.65,2.9,4,4.95,5.8,6.45,7,7.4,7.55
0.5,0.8,1.15,1.4,1.7,1.95,2.3,2.7,3.25,4,4.85,5.9,6.8,7.55,8.15,8.7,9.15,9.35
0.75,1.8,2.4,2.95,3.4,3.85,4.35,4.85,5.45,6.1,6.9,7.7,8.4,9.05,9.6,10.05,10.5,10.7
1,2.6,3.65,4.45,5.05,5.65,6.15,6.7,7.3,7.95,8.6,9.25,9.8,10.35,10.85,11.25,11.65,11.8
1.5,5.25,6.5,7.4,8.1,8.75,9.35,9.85,10.3,10.8,11.2,11.6,12,12.3,12.6,12.85,13.1,13.2
2,8.15,9.4,10.25,10.85,11.35,11.75,12.1,12.4,12.75,13,13.2,13.3,13.45,13.55,13.65,13.75,13.8
2.5,10.6,11.65,12.3,12.75,13.05,13.3,13.45,13.6,13.75,13.85,13.9,13.95,14,14,14,14,14
3,12.25,13,13.45,13.7,13.85,13.95,14,14,14,14,14,14,14,14,14,14,14
3.5,13.15,13.7,13.95,14,14,14,14,14,14,14,14,14,14,14,14,14,14
4,13.45,13.85,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
5,13.6,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
6,13.6,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
6.5,13.55,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
7,13.45,13.9,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
7.5,13.25,13.7,13.9,14,14,14,14,14,14,14,14,14,14,14,14,14,14
8,12.4,13,13.35,13.55,13.65,13.8,13.87,13.95,14,14,14,14,14,14,14,14,14
8.5,10.5,11.35,11.85,12.25,12.5,12.7,12.85,12.95,13,13.1,13.2,13.27,13.4,13.5,13.65,13.75,13.8
9,7.45,8.5,9.15,9.6,9.9,10.2,10.4,10.5,10.6,10.7,10.85,11,11.2,11.5,11.8,12.1,12.25
9.25,5.55,6.5,7.1,7.6,7.9,8.15,8.35,8.5,8.6,8.75,8.95,9.15,9.45,9.75,10.1,10.45,10.6
9.5,3.6,4.5,5.05,5.45,5.75,5.85,5.95,6.05,6.1,6.2,6.4,6.65,6.9,7.25,7.6,8,8.15
9.75,2.25,2.9,3.25,3.35,3.42,3.45,3.48,3.5,3.57,3.62,3.67,3.75,3.8,4,4.25,4.55,4.65
10,1.4,1.9,2.05,1.95,1.7,1.35,1.05,0.75,0.5,0.25,0.1,0.05,0,0.1,0.25,0.55,0.7

