vessel_type,cb,lbp,b,d,t,cm,cw,lcb_pct,source,notes
product_carrier,0.792,185,28,16.4,12.87,0.98,0.88,2.08,BSRA_Fig54,40000DWT_14kts
product_carrier,0.80,185,28,16.4,12.87,0.99,0.87,2.08,Document_Table_VI,Standard_form
product_carrier,0.75,170,26,15.5,11.5,0.98,0.86,2.0,BSRA_Interpolated,Lower_Cb_variant
product_carrier,0.85,200,30,17.5,14.0,0.99,0.89,2.2,BSRA_Interpolated,Higher_Cb_variant
bulk_carrier,0.80,200,30,17.0,13.0,0.99,0.88,1.5,Series_60,Standard
bulk_carrier,0.85,220,32,18.5,14.2,0.995,0.90,1.5,Series_60,Modified
bulk_carrier,0.88,240,34,19.5,15.0,0.996,0.91,1.3,Series_60,High_Cb
tanker,0.78,220,40,20.0,15.0,0.99,0.88,2.0,BSRA_Tanker,Medium_size
tanker,0.82,240,42,21.0,16.5,0.99,0.89,2.0,BSRA_Tanker,VLCC_type
tanker,0.86,260,44,22.0,17.5,0.995,0.90,1.8,BSRA_Tanker,ULCC_type
container,0.55,250,38,22.0,12.0,0.97,0.73,4.0,Series_60,Very_high_speed
container,0.60,280,40,24.0,13.5,0.98,0.75,3.5,Series_60,High_speed
container,0.65,300,42,25.0,14.5,0.98,0.77,3.0,Series_60,Standard
general_cargo,0.68,140,22,13.0,9.0,0.96,0.81,2.5,NPL_Series,Small
general_cargo,0.70,150,23,13.5,9.8,0.96,0.82,2.5,NPL_Series,Multi_purpose
general_cargo,0.72,160,24,14.0,10.5,0.97,0.83,2.3,NPL_Series,Large
roro,0.65,180,28,20.0,7.5,0.97,0.78,2.0,Series_60,Standard
roro,0.70,200,30,22.0,8.5,0.98,0.80,1.8,Series_60,Large
fast_ferry,0.50,80,12,8.0,3.5,0.95,0.70,5.0,High_Speed_Series,Small
fast_ferry,0.55,100,14,9.0,4.0,0.96,0.72,4.5,High_Speed_Series,Medium
yacht,0.45,50,10,6.0,2.5,0.94,0.68,6.0,Yacht_Series,Small
yacht,0.50,60,12,7.0,3.0,0.95,0.70,5.5,Yacht_Series,Medium
cruise,0.65,300,40,25.0,8.5,0.98,0.77,3.0,Cruise_Series,Standard
cruise,0.70,320,42,26.0,9.0,0.98,0.79,2.8,Cruise_Series,Large
